Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
KATM,,103.3,MODESTO,CA,USA,COUNTRY,KAT COUNTRY 103,11239,50,50,152,152,37-34-30,121-21-13,,HD,11FA,The Kat,-,,
WTCR-FM,,103.3,HUNTINGTON,WV,USA,COUNTRY,103.3 TCR COUNTRY,7983,50,50,150,150,38-25-11,82-24-06,,,8719,WTCRFM,-,,
WARM-FM,,103.3,YORK,PA,USA,ADULT CONTEMPORARY,WARM 103.3,73980,6.4,6.4,398,398,40-01-38,76-36-00,,HD,566E,WARM1033,Central PA's Christmas Station,,
KPRS,,103.3,KANSAS CITY,MO,USA,URBAN CONTEMPORARY,HOT 103 JAMZ,35495,100,100,303,303,39-00-57,94-30-24,,HD,1968,Title & Artist on Hot 103,#1 for Hip Hop and R&B HOT 103 JAMS,Rhythm and Blues,
KWOZ,,103.3,MOUNTAIN VIEW,AR,USA,COUNTRY,ARKANSAS 1033 KWOZ,46336,100,100,301,301,35-47-06,91-57-44,,,4B9D,,,Country,
WVJP-FM,,103.3,CAGUAS,PR,USA,CONTEMPORARY HIT RADIO,DIMENSION 103,6441,26,26,592,592,18-16-41,65-51-09,Spanish,,8D15,,,,
WAKG,,103.3,DANVILLE,VA,USA,COUNTRY,TODAY'S HOT COUNTRY & COOL CLASSICS,52545,100,100,199,199,36-44-28,79-23-05,,,55B2,,,Country,
WJMX-FM,,103.3,CHERAW,SC,USA,CONTEMPORARY HIT RADIO,103-X,3114,50,50,150,150,34-30-18,79-54-18,,,6DBB,Listen to Fisher & Mattie in the mornings. 103x all the hits,103 X Pee Dee's Number One hit music station,Top 40,
WLTS,,103.3,GREER,SC,USA,SOFT CHRISTIAN CONTEMPORARY,AIR1,73241,2.7,2.7,151,151,34-59-54,82-08-17,,,8381,,,,// WLTE 95.9
KIXB,,103.3,EL DORADO,AR,USA,COUNTRY,KIX 103,48946,100,100,174,174,33-13-20,92-55-29,,,2777,KIX103 TOTAL REQUEST LUNCH WITH ARTE BRYANT,,Country,
W277AA,WDCL 89.7,103.3,SOMERSET,KY,USA,NEWS/TALK/CLASSICAL,WESTERN'S PUBLIC RADIO,71859,0.25,0.25,89,89,37-07-03,84-36-42,,,5CD3,WKU NPR,,,Western Kentucky University
WJOD,,103.3,ASBURY,IA,USA,COUNTRY,103.3 WJOD,34596,18,18,118,118,42-30-10,90-42-24,,,6DDB,,,Country,
KFTZ,,103.3,IDAHO FALLS,ID,USA,CONTEMPORARY HIT RADIO,Z-103,18116,100,100,201,201,43-21-06,112-00-22,,HD,1F3B,Z103,-,Top 40,90s/2000s Hits “Throwback 103” on HD2 & Dance “Vibez 103” on HD3
W277CK,WPKY-1580,103.3,PRINCETON,KY,USA,CLASSIC HITS,WPKY 103.3 FM & 1580AM,142591,0.25,0.25,0,0,37-08-08,87-53-47,,,,,,,
W277DW,WCBF-HD3,103.3,ELMIRA,NY,USA,,,8554,0.25,0.25,0,0,42-07-51,76-47-26,,,,,,,
W277CT,WDZY-1290,103.3,PETERSBURG,VA,USA,RELIGIOUS TEACHING,RADIO THAT CHANGES THE WAY YOU LIVE,18868,0.25,0.25,0,0,37-15-30,77-23-40,,,D2D1,WDZY-FM,Wilkinsradio.com,Religious Talk,
WMGV,W238CF 95.5,103.3,NEWPORT,NC,USA,ADULT CONTEMPORARY,MAGIC 103.3/95.5,48400,100,100,299,299,35-07-55,76-52-32,,HD,7509,WMGV - Now playing song/artist,,,
WAXL,,103.3,SANTA CLAUS,IN,USA,HOT AC,103.3 THE FIX,64420,3,3,141,141,38-12-31,86-54-00,,,,,,,
K277AH,KRAY 103.5,103.3,WATSONVILLE,CA,USA,REGIONAL MEXICAN,LA BUENA 103.5,33753,0.053,0,-9,0,36-52-43,121-45-04,Spanish,,,,,,
W277AG,WHWL 95.7,103.3,SAULT STE. MARIE,MI,USA,RELIGIOUS TEACHING,WITNESSING HIS WONDERFUL LOVE,81117,0.026,0.026,55,55,46-29-09,84-20-02,,,,,,,
W277AH,WKVP 106.9,103.3,DOVER,DE,USA,CONTEMPORARY CHRISTIAN,K-LOVE,21076,0.08,0.08,0,0,39-09-48,75-32-08,,,,,,,
K277AD,KSZE-HD2,103.3,AUSTIN,MN,USA,CLASSICAL,CLASSSICAL MPR,42979,0.1,0.1,32,32,43-40-13,92-58-37,,,,,,,
WEDG,,103.3,BUFFALO,NY,USA,ROCK,THE EDGE,56103,49,49,106,106,42-55-34,78-50-28,,HD,5F8C,WEDG Artist/Title,@1033TheEdge - WEDG COM,Rock,
W277AE,WZEE 104.1 HD-3,103.3,MADISON,WI,USA,CONTEMPORARY CHRISTIAN,AIR1,76223,0.12,0.12,0,0,43-02-08,89-30-25,,,,,,,
WQLB,,103.3,TAWAS CITY,MI,USA,CLASSIC HITS,HITS FM,51746,15,15,129,129,44-24-48,83-37-14,,,,,,,
KJLS,,103.3,HAYS,KS,USA,HOT AC,MIX 103,54892,100,100,303,303,39-01-15,99-28-12,,,28F4,Title-Artist-Mix 103.3,Title-Artist-Mix 103.3,Top 40,
W277CU,WFQS 91.3,103.3,HIGHLANDS,NC,USA,NEWS/TALK,BPR NEWS,81929,0.01,0.01,0,0,35-02-21,83-13-04,,,,,,,
K277AE,KNDD-HD2,103.3,SEATTLE,WA,USA,HOT AC,CHANNEL Q,18522,0.25,0,0,0,47-36-21,122-19-46,,,,,,,
KDFM,,103.3,FALFURRIAS,TX,USA,CONTEMPORARY CHRISTIAN,RADIO CRISTIANA,86553,3,3,100,100,27-15-29,98-07-08,Spanish,,,,,,
WKFR-FM,,103.3,BATTLE CREEK,MI,USA,CONTEMPORARY HIT RADIO,103.3 WKFR - TODAY'S BEST MUSIC,14658,50,50,147,147,42-21-20,85-20-28,,HD,6FA3,TODAY'S BEST MUSIC - 103.3 KFR,TODAY'S BEST MUSIC - 103.3 KFR,Top 40,
WXZZ,,103.3,GEORGETOWN,KY,USA,ROCK,Z ROCK 103,34245,6,6,100,100,38-03-56,84-29-13,,,9407,ZROCK103,,Rock,
KRUZ,,103.3,SANTA BARBARA,CA,USA,CLASSIC HITS,KRUZ 103.3,8853,105,105,905,905,34-31-29,119-57-32,,,3F05,,,,
K277DF,KARB 98.3,103.3,PRICE,UT,USA,COUNTRY,KICKIN' COUNTRY,8740,0.25,0.25,0,0,39-36-33,110-48-50,,,,,,,
WIVQ,,103.3,SPRING VALLEY,IL,USA,CONTEMPORARY HIT RADIO,Q HIT MUSIC,28312,4.9,4.9,110,110,41-18-09,89-14-11,,,6BFA,Q97 Q103,ALL THE HITS ALL THE TIME THE Q!,,//WSTQ 97.7
WKMZ,,103.3,SALEM,WV,USA,NEWS/TALK/SPORTS,CLARKSBURG 103.3,79305,1.8,1.8,179.7,179.7,39-15-44,80-28-01,,,,,,,
WXCZ,,103.3,CEDAR KEY,FL,USA,COUNTRY,NATURE COAST COUNTRY,57563,31,31,140,140,29-11-45,82-59-46,,,8236,,-,,
KTMQ,,103.3,TEMECULA,CA,USA,ROCK,Q 103.3,85012,1.25,1.25,218,218,33-28-51,117-10-58,,,4374,,,Rock,
KPRU,,103.3,DELTA,CO,USA,CLASSICAL,COLORADO PUBLIC RADIO,84439,12,12,301,301,38-52-40,108-13-32,,,396A,,,,
KWBU-FM,,103.3,WACO,TX,USA,NEWS/CLASSICAL,WACO PUBLIC RADIO,4124,3.2,3.2,138,138,31-30-51,97-11-44,,,4A46,KWBU 103.3 Waco Public Radio,KWBU 103.3 Waco Public Radio,Public,
WMCM,WBFB 97.1,103.3,ROCKLAND,ME,USA,COUNTRY,97.1 THE BEAR,57301,22.5,22.5,225,225,44-07-37,69-08-26,,,57CF,,,,
KKCW,,103.3,BEAVERTON,OR,USA,ADULT CONTEMPORARY,K-103 FM,68210,95,95,470,470,45-31-21,122-44-45,,HD,1AB2,artist/title on K103,Artist/Title on K103,Adult Hits,
WFXD,,103.3,MARQUETTE,MI,USA,COUNTRY,103 FXD,70392,100,100,286,286,46-36-14,87-37-15,,HD,6435,#1 New Country 103-FXD - ad,#1 New Country 103-FXD - ad,Country,
KJCS,,103.3,NACOGDOCHES,TX,USA,COUNTRY,WILLY 103.3,67856,22.5,22.5,224,224,31-25-59,94-49-03,,,280A,[Title] (year) BY [Artist] On Willy 103.3,[Title] (year) BY [Artist] On Willy 103.3,Country,
KDRF,,103.3,ALBUQUERQUE,NM,USA,ADULT HITS,103.3 ED FM,55052,20,20,1293,1293,35-12-50,106-27-01,,,19AB,103.3 eD,Title & Artist on 103.3 eD FM,Adult Hits,
WKQL,,103.3,BROOKVILLE,PA,USA,CLASSIC HITS,KOOL 103.3,81912,10.5,10.5,151,151,41-04-04,79-04-59,,,A7BB,KOOL1033,KOOL 103.3 Classic Hits,Adult Hits,
WMLX,,103.3,ST. MARYS,OH,USA,ADULT CONTEMPORARY,MIX 103.3,37499,1.95,1.95,170,170,40-38-03,84-12-29,,,758D,Mix1033.com,Mix 103.3 Title&Artist,Adult Hits,
K277DV,KPCL 95.7,103.3,PAGOSA SPRINGS,CO,USA,CONTEMPORARY CHRISTIAN,PASSION 95.7 FM,53617,0.016,0.016,388,0,37-11-32,107-05-55,,,,,,,ex 92.5 (K233AF)
WAVJ,,103.3,WATERBURY,VT,USA,ROCK,ROCK 103.3,20592,2.85,2.85,284,284,44-21-52,72-55-53,,,A907,(Title) by (Artist) on Burlington's Rock Station - Rock 103.3,(Title) by (Artist) on Burlington's Rock Station - Rock 103.3,,
KCRS-FM,,103.3,MIDLAND,TX,USA,CONTEMPORARY HIT RADIO,103.3 KISS FM,9667,95,95,280,280,32-05-11,102-17-10,,,1714,KISS FM,-,Top 40,
WRQQ,,103.3,HAMMOND,LA,USA,CLASSIC HITS,CLASSIC HITS 103.3,61271,100,100,306,306,30-24-06,90-50-43,,,833C,CLASSIC HITS 1033,,Adult Hits,
KFTZ-FM1,,103.3,POCATELLO,ID,USA,CONTEMPORARY HIT RADIO,Z-103,18118,0,2,0,0,42-50-55,112-26-46,,,,,,,
KBAA,,103.3,GRASS VALLEY,CA,USA,CONTEMPORARY HIT RADIO,LATINO 97.9 & 103.3,87969,1.25,1.25,216,216,39-10-04,120-51-50,Spanish,,,,,,
KWLN,,103.3,WILSON CREEK,WA,USA,SPANISH HITS,LA NUEVA,72880,25,25,74,74,47-16-40,119-00-00,Spanish,,4B43,LA NUEVA,,,
K277AG,KKMY HD2,103.3,BEAUMONT,TX,USA,RHYTHMIC CHR,103.3 THE BEAT,51844,0.099,0.099,51,0,30-04-32,94-07-49,,,,,,,No RDS observed 3/30/24
KBIU,,103.3,LAKE CHARLES,LA,USA,RHYTHMIC CHR,HOT 103.3,17019,50,50,115,115,30-14-36,93-20-38,,,1388,HOT 1033,HOT 1033 - Lake Charles Hottest Music,No Program Type or Undefined,
KRHM-LP,,103.3,BAKERSFIELD,CA,USA,RELIGIOUS,,123382,0.1,0,13,0,35-18-31,119-03-57,Spanish,,,,,,
KDTR,,103.3,FLORENCE,MT,USA,ADULT ALTERNATIVE,TRAIL 103.3,162324,1.84,1.84,635,635,46-48-06,113-58-25,,,19EB,TRAIL 103-3,,,
W277CY,WPVA 90.1,103.3,HARRISONBURG,VA,USA,CONTEMPORARY CHRISTIAN,SPIRIT FM,141355,0.01,0.01,0,0,38-27-08,78-54-32,,,,,,,
WXOJ-LP,,103.3,NORTHAMPTON,MA,USA,VARIETY,,133520,0.1,0.1,20,0,42-18-59,72-40-20,,,92D9,WXOJ-LP,WXOJ-LP 140 PINE STREET FLORENCE MASS 01062 585-1033,Religious Music,
K277AX,KNUQ-HD2,103.3,PAIA,HI,USA,HAWAIIAN,103.3 THE BEAT,148150,0.099,0.099,0,0,20-42-22,156-15-39,,,,,,,
WZND-LP,,103.3,BLOOMINGTON,IL,USA,VARIETY,FUZED RADIO,126023,0.011,0,87,0,40-30-30,88-59-19,,,,,,,
K277BH,KNLR 97.5,103.3,MADRAS,OR,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,NEW LIFE RADIO,24672,0.25,0.25,27.5,0,44-34-45,0121-09-09,,,,,,,
KUSB,,103.3,HAZELTON,ND,USA,COUNTRY,US 103.3,162267,100,100,294,294,46-35-24,100-47-46,,,46A5,US1033,,Spanish Music,
KLER-FM,,103.3,OROFINO,ID,USA,ADULT CONTEMPORARY,CONTINUOUS HITS MIX 103,9890,2.3,2.3,206,206,46-28-09,116-16-40,,,,,,,Ex 95.1
W277BJ,WILQ-HD2,103.3,WILLIAMSPORT,PA,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE NETWORK,156045,0.25,0.25,412,0,41-12-32,76-57-30,,,6AF6,,,,
WKVS,,103.3,LENOIR,NC,USA,COUNTRY,KICKS 103.3,22015,0.91,0.91,257,257,35-58-31,81-33-06,,,,,,,
WOLT-FM,,103.3,INDIANAPOLIS,IN,USA,ADULT ALTERNATIVE,INDY 103.3,59589,18,18,259,259,39-53-43,86-12-04,,HD,1AD1,Indy 103.3 Title & Artist,Indy 103.3 Title & Artist,Rock,
W277AM,WYFP 91.9,103.3,PORTLAND,ME,USA,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,149580,0.019,0.019,0,0,43-41-26,70-19-05,,,,,,,
WPRB,,103.3,PRINCETON,NJ,USA,VARIETY,STEREO 103.3,53567,14,14,222,222,40-16-58,74-41-11,,HD,7DFF,WPRB,,,
K277AM,KWND 88.3,103.3,MANSFIELD,MO,USA,CONTEMPORARY CHRISTIAN,THE JOY FM NETWORK,149642,0.25,0.25,0,0,37-02-18,92-40-30,,,,,,,
K277AR,KAFF-FM 92.9,103.3,COTTONWOOD,AZ,USA,COUNTRY,92.9 KAFF COUNTRY,138607,0.01,0.01,790.8,0,34-41-12,112-07-00,,,,,,,
WMXS,,103.3,MONTGOMERY,AL,USA,ADULT CONTEMPORARY,MIX 103,12322,100,100,334,334,32-24-13,86-11-47,,,76C0,MIX 103,Paul Horton mornings on Mix1033,Soft Rock,
W277DF,WVXX-1050,103.3,NORFOLK,VA,USA,SPANISH HITS,SELECTA 1050,150322,0.25,0.25,0,0,36-49-44,76-12-26,Spanish,,8.00E+89,SELECTA 103.3,,Spanish Music,
W277AW,WAEY-1490,103.3,PRINCETON,WV,USA,SOUTHERN GOSPEL,THE WAY 103.3,145794,0.065,0.065,98.1,0,37-23-07,81-05-58,,,,,,,
WMXW,,103.3,VESTAL,NY,USA,ADULT CONTEMPORARY,MIX 103,19624,0.52,0.52,335,335,42-03-40,75-56-45,,,16C4,,,,
W277DC,WPRT-HD4,103.3,BATESBURG,SC,USA,,,138324,0.25,0.25,0,0,33-52-49,81-33-16,Spanish,,,,,,
W277CZ,WFIW-1390,103.3,FAIRFIELD,IL,USA,NEWS/TALK,AM 1390,152896,0.25,0.25,0,0,38-22-46,88-19-33,,Mono,,,,,
K277AY,KTGW 91.7,103.3,CHINLE,AZ,USA,RELIGIOUS TEACHING,THE WORD 91.7 FM,144670,0.01,0.01,694.6,0,36-27-39,109-05-44,,,,,,,
W278DD,WWCN 99.3,103.3,BONITA SPRINGS,FL,USA,SPORTS,ESPN RADIO,156561,0.25,0.25,72,0,26-20-30,81-42-38,,,,,,,CP for W278DD 103.5 Expires 2/1/28
W277CW,WIXK-1590,103.3,NEW RICHMOND,WI,USA,ETHNIC,,148016,0.25,0.25,0,0,45-05-10,92-34-19,Hmong,,,,,,
W277BI,WSMF-88.1,103.3,TOLEDO,OH,USA,CONTEMPORARY CHRISTIAN,SMILE FM MICHIGAN'S POSITIVE HITS,138984,0.16,0.16,0,0,41-38-41,83-42-19,,,856D,,,,
W277BM,WGTD 91.1,103.3,LAKE GENEVA,WI,USA,NEWS,WPR NEWS,147272,0.019,0.019,73.6,73.6,42-36-38,88-26-03,,,,,,,
W277DG,WENI-1450,103.3,CORNING,NY,USA,COUNTRY,BIGFOOT LEGENDS,141320,0,0.025,0,0,42-08-31,77-04-40,,,,,,,
K277BF,KSCV 90.1,103.3,MOUNT VERNON,MO,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,138435,0.25,0.25,64.5,0,37-05-15,93-50-31,,,,,,,
KUKI-FM,,103.3,UKIAH,CA,USA,COUNTRY,TRUE COUNTRY,31620,2.9,2.9,542,542,39-19-35,123-16-11,,,,,,,
W277BP,WBDK 96.7 HD-2,103.3,STURGEON BAY,WI,USA,CLASSIC ROCK,THE PIRATE,155773,0.25,0.25,0,0,44-50-14,87-19-47,,,D237,,,,
K277BG,KYPL 91.1,103.3,GRANDVIEW,WA,USA,CONTEMPORARY CHRISTIAN,POSITIVE LIFE RADIO,155334,0.023,0.023,230.3,0,46-11-12,119-45-12,,,A5F1,,,Religious Music,
KLOU,,103.3,ST. LOUIS,MO,USA,CLASSIC HITS,OLDIES 103.3,9626,93,93,309,309,38-34-28,90-19-32,,HD,1E8C,103.3 KLOU St. Louis' Greatest Hits,103.3 KLOU St. Louis' Greatest Hits,Adult Hits,
K277DD,KEBC-1560,103.3,NORMAN,OK,USA,CLASSIC HIP-HOP,V 103,153649,0.25,0.25,36,0,35-13-19,97-26-30,,,1AAC,KEBC,The Franchise II - OK's New Sound for Sports,Sports,
WTUS-LP,,103.3,TUSCALOOSA,AL,USA,TRAVEL INFO,103.3 TUSCALOOSA'S VISITOR INFORMATION STATION,134739,0.047,0.047,44,0,33-09-36,87-30-54,,,,,,,
WVEE,,103.3,ATLANTA,GA,USA,URBAN CONTEMPORARY,V-103 THE PEOPLES STATION,63776,100,100,310,310,33-45-33,84-20-05,,HD,8C88,Song/Artist,Song/Artist,Rhythm and Blues,
W277BR,WSTM 91.3,103.3,SHEBOYGAN,WI,USA,CONTEMPORARY CHRISTIAN,THE FAMILY,150067,0.055,0.055,43.6,0,43-45-56,87-45-59,,,862A,,,,
K277BD,KQEO 107.1,103.3,WESTON,ID,USA,CLASSIC HITS,ARROW 107,157704,0.25,0.25,28.3,0,41-52-18,111-48-31,,,,,,,
KSCU,,103.3,SANTA CLARA,CA,USA,VARIETY,THE UNDERGROUND SOUND,59061,0.03,0.03,-2,-2,37-20-50,121-56-21,,,,,,,
WDSE-FM,,103.3,DULUTH,MN,USA,VARIETY,THE NORTH 103.3,55571,95,95,250,250,46-47-31,92-07-21,,,5E6C,,,,
W277BT,WABN-1230,103.3,ABINGDON,VA,USA,CONTEMPORARY CHRISTIAN,LOVE 97.3 FM,143217,0.19,0.19,110.6,0,36-44-03,81-58-18,,Silent,,,,,Station has been off for years per local DXer
K277BJ,KCGR 90.5,103.3,CAPE GIRARDEAU,MO,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,138437,0.25,0.25,34.6,0,37-18-34,89-33-02,,,,,,,
K277BL,KOUL 107.7,103.3,CORPUS CHRISTI,TX,USA,CONTEMPORARY HIT RADIO,FUEGO,144204,0.25,0.25,0,0,27-46-10,97-26-55,Spanish,,,,,,// K228XM
K277BN,KSQQ 96.1,103.3,SAN MARTIN,CA,USA,ETHNIC,Q96 RADIO COMERCIAL PORTUGUESA,147433,0.023,0,228.7,0,37-10-03,121-34-20,Portuguese,,,,,,
KTFC,,103.3,SIOUX CITY,IA,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,17199,100,100,193,193,42-29-06,96-18-19,,,42B0,BOTT Radio Network,bottradionetwork.com,Religious Talk,
W277CA,WCMT-FM 101.3,103.3,UNION CITY,TN,USA,ADULT CONTEMPORARY,MIX 101.3,90233,0.25,0.25,0,0,36-24-47,89-08-59,,,,,,,
W277EB,WNRN 91.5,103.3,WILLIAMSBURG,VA,USA,ROCK,INDEPENDENT MUSIC RADIO,158513,0.25,0.25,0,0,37-23-13,76-47-45,,,----,Title & Artist on WNRN,Title & Artist on WNRN,Rock,
KRAN,,103.3,WARREN AFB,WY,USA,COUNTRY,103.3 THE RANGE,166001,37,37,78,78,41-09-34,104-43-19,,,3CF1,,Cheyenne's Greatest Country,Country,
W277CB,WGIV-1370,103.3,CHARLOTTE,NC,USA,URBAN CONTEMPORARY,STREETZ 103.3 & 100.5,78856,0.25,0.25,0,0,35-11-56,80-52-36,,,6565,Streetz 103.3 and 100.5,,,//W263CY 100.5
WWMP-FM1,,103.3,MONTPELIER,VT,USA,CONTEMPORARY CHRISTIAN,AIR1,110504,0.011,0.011,0,0,44-16-49,72-33-30,,,,,,,
W277BV,WHRN 88.5,103.3,ZANESVILLE,OH,USA,CONTEMPORARY CHRISTIAN,HOPE 88.3,158595,0.019,0.019,89.7,0,39-56-22,82-02-13,,,,,,,
WQGA,,103.3,WAYCROSS,GA,USA,CONTEMPORARY HIT RADIO,103Q,65020,100,100,303,303,31-09-22,81-58-19,,,,,,,
KBEN,,103.3,COWLEY,WY,USA,COUNTRY,THE RANGE,165998,100,100,427,427,44-34-13,108-49-09,,,,,,,
W277BS,WQNY 103.7,103.3,ITHACA,NY,USA,COUNTRY,Q-COUNTRY,24216,0.25,0.25,159.5,0,42-23-30,76-28-29,,,A852,,,,
W277BA,WENJ-HD2,103.3,MILLVILLE,NJ,USA,CONTEMPORARY HIT RADIO,LA MEGA,141526,0.133,0.133,0,0,39-25-20,75-01-13,Spanish,,D2B6,,,,
KJSR,,103.3,TULSA,OK,USA,CLASSIC ROCK,103.3 THE EAGLE,9801,100,100,395,395,36-01-15,95-39-28,,HD,29A9,Title & Artist 103.3 THE EAGLE,Now Playing Title & Artist,Classic Rock,
WBZL,,103.3,GREENWOOD,MS,USA,COUNTRY,THE POSSUM,170950,25,25,78.8,78.8,33-31-12,90-08-28,,,,,,,
WZKR,,103.3,COLLINSVILLE,MS,USA,TALK,SUPER TALK MISSISSIPPI,76435,6,6,167,167,32-19-34,88-41-12,,,,,,,
WVYB,,103.3,HOLLY HILL,FL,USA,CONTEMPORARY HIT RADIO,VYB 103.3 THE VIBE,41669,6,6,89.9,89.9,29-14-11,81-04-22,,,8E8D,103.3 THE VYB,Artist - on 1033 THE VYB!,Top 40,
WBGB,,103.3,BOSTON,MA,USA,ADULT HITS,BIG 103,9639,8.7,8.7,351,351,42-18-27,71-13-27,,HD,5.70E+10,BIG 103 Ttle & Artist,Title & Artist,Adult Hits,
KIQN-FM,,103.3,COLORADO CITY,CO,USA,COUNTRY,KICKIN' COUNTRY,164269,100,100,165,165,37-46-52,104-32-03,,,,,,,
K277DW,KRDX 103.7,103.3,CORONA DE TUCSON,AZ,USA,OLDIES,,157329,0.25,0.25,0,0,31-55-39,110-37-59,,,,,,,ex 96.7 K244EI
W277CS,WBHY-840,103.3,SPANISH FORT,AL,USA,RELIGIOUS TEACHING,CHRISTIAN 840,150865,0.25,0.25,0,0,30-40-45,87-50-24,,,----,WBHY,none,Religious Talk,
KRXZ,,103.3,PAMPA,TX,USA,CLASSIC ROCK,103.3 THE ARROW,181071,50,50,88,88,35-34-39,100-57-08,,,,,,,
K277BK,KIKF 104.9,103.3,BLACK EAGLE,MT,USA,COUNTRY,THE WOLF,143139,0.25,0.25,56.3,0,47-32-23,111-17-06,,,D444,,,Country,
W277AC,WFDL-1170,103.3,WAUPUN,WI,USA,OLDIES,THE SOURCE,24447,0.25,0.25,48,0,43-38-35,88-43-25,,,,,,,Additional format: News // W229DE 93.7
K277CZ,KMAS-1030,103.3,SHELTON,WA,USA,NEWS/TALK,KMAS 1030 AM & 103.3 FM,154893,0,0.25,0,0,47-08-20,0123-08-23,,,FFFF,KMAS-FM,KMAS-FM,News,
K277BW,KAWZ 89.9,103.3,RENO,NV,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,82391,0,0.01,0,820.3,39-35-23,119-55-40,,,,,,,
KZKE,,103.3,SELIGMAN,AZ,USA,OLDIES,ROUTE 66 GOOD TIME OLDIES KZKE,56339,7.7,7.7,138.1,138.1,35-19-28,112-45-52,,,,,,,
K277BS,KZPK-HD3,103.3,ST. CLOUD,MN,USA,CLASSIC ROCK,Z ROCK,149174,0.25,0.25,130,0,45-32-21,94-10-05,,,5394,Title & Artist,,Rock,
W277AP,WFSX-HD2,103.3,BAYSHORE,FL,USA,SPORTS,FOX SPORTS FM,139003,0.16,0.16,0,0,26-41-30,81-52-51,,,,,,,fed through W290DB 105.9
WGLX-FM,,103.3,WISCONSIN RAPIDS,WI,USA,CLASSIC ROCK,CLASSIC ROCK 103-3,73054,100,100,244,244,44-38-39,89-51-12,,,65B5,103.3 WGLX,-,Classic Rock,
WQQQ,,103.3,SHARON,CT,USA,EASY LISTENING,,54785,1.5,1.5,186,186,41-55-08,73-34-22,,,A898,,,,
KUVB-LP,,103.3,LEAVENWORTH,WA,USA,RELIGIOUS TEACHING,,194327,0.1,0,-111,0,47-31-31,120-31-31,,,,,,,
WTCF,,103.3,WARDENSVILLE,WV,USA,CONTEMPORARY CHRISTIAN,K-LOVE,189559,0.35,0.35,410,410,39-10-58,78-23-23,,,870D,,,,
K277BV,KSCV 90.1,103.3,HOLLISTER,MO,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,138431,0.25,0.25,0,0,36-36-39,93-14-22,,,,,,,
KVDT,,103.3,ALLEN,TX,USA,RELIGIOUS TEACHING,VCY AMERICA,58265,98,98,606,606,33-32-14,96-49-54,,,47D5,KVDT,,Religious Talk,No Radio Text.
W277AK,WJFX HD2,103.3,FORT WAYNE,IN,USA,RHYTHMIC CHR,LOUD 103.3,83637,0.25,0.25,0,0,41-05-57,85-08-42,,,,,,,
K277BX,KMOG-1420,103.3,STAR VALLEY,AZ,USA,COUNTRY,RIM COUNTRY RADIO,144556,0.25,0.25,0,0,34-15-59,111-18-54,,,,,,,
K277AI,KMHL 1400,103.3,RUSSELL,MN,USA,TALK,,85039,0.25,0.25,133.3,133.3,44-19-32,95-52-19,,,,,,,
KAZR,,103.3,PELLA,IA,USA,ROCK,LASER 103.3,28882,100,100,227,227,41-32-17,93-17-58,,HD,129B,Title & Artist Lazer 103.3 KAZR,Title & Artist Lazer 103.3 KAZR,Rock,
CHFA-5-FM,CHFA-10-FM 90.1,103.3,GRANDE PRAIRIE,AB,CAN,NEWS/TALK,ICI RADIO-CANADA PREMIERE,900148,25.3,25.3,247.5,247.5,55-29-20,118-44-54,French,,,,,,
CBZC-FM,CBZF-FM 99.5,103.3,BON ACCORD,NB,CAN,NEWS/TALK,CBC RADIO ONE FREDERICTON,900986,38.5,0,320,0,46-38-57,67-35-33,,Mono,,,,,
CKDY-1-FM,CKDY-FM 99.7,103.3,WEYMOUTH,NS,CAN,COUNTRY,TODAY'S BEST COUNTRY,900987,3,3,64,0,44-22-15,65-56-18,,Mono,,,,,
CBOQ-FM,,103.3,OTTAWA,ON,CAN,VARIETY,CBC MUSIC 103.3 FM,900988,84,84,323,323,45-30-11,75-51-01,,,B203 - 'NPR',CBC,CBCMUSIC,Classical,
CKQV-FM,,103.3,VERMILLION BAY,ON,CAN,CLASSIC HITS,Q 104,900991,1.6,1.6,153,0,49-50-37,93-26-27,,,,,,,
CHAA-FM,,103.3,LONGUEUIL,QC,CAN,VARIETY,FM 103.3,900992,1.7,1.7,284.6,284.6,45-30-20,73-35-30,French,HD,C3E2,C?UR DE PIRATE - ON S AIMERA TOUJOURS,C?UR DE PIRATE - ON S AIMERA TOUJOURS,No Program Type or Undefined,
XHENA-FM,,103.3,ENSENADA,BC,MEX,GRUPERA,LA MEJOR FM,800983,8.8,8.8,192,192,31-53-24,116-37-47,Spanish,,,,,,
XHVG-FM,,103.3,MEXICALI,BC,MEX,GRUPERA,LA MEJOR FM,800984,14.12,14.12,98,98,32-38-35,115-27-10,Spanish,,,,,,
